;eV;e1;e2
820;2.148;7.156;4.5354e-09
821;2.1459;7.1539;4.3391e-09
822;2.1438;7.1519;4.1519e-09
823;2.1416;7.1498;3.9736e-09
824;2.1395;7.1477;3.8018e-09
825;2.1374;7.1457;3.6387e-09
826;2.1353;7.1437;3.4817e-09
827;2.1332;7.1417;3.3321e-09
828;2.1311;7.1396;3.1893e-09
829;2.129;7.1376;3.0524e-09
830;2.127;7.1356;2.9214e-09
831;2.1249;7.1336;2.7964e-09
832;2.1228;7.1316;2.6765e-09
833;2.1207;7.1297;2.5617e-09
834;2.1186;7.1277;2.4522e-09
835;2.1166;7.1257;2.3477e-09
836;2.1145;7.1238;2.2471e-09
837;2.1125;7.1218;2.1516e-09
838;2.1104;7.1199;2.0597e-09
839;2.1084;7.118;1.9719e-09
840;2.1063;7.116;1.8878e-09
841;2.1043;7.1141;1.8075e-09
842;2.1022;7.1122;1.7307e-09
843;2.1002;7.1103;1.6573e-09
844;2.0982;7.1084;1.5869e-09
845;2.0961;7.1065;1.5195e-09
846;2.0941;7.1047;1.4552e-09
847;2.0921;7.1028;1.3935e-09
848;2.0901;7.1009;1.3344e-09
849;2.0881;7.099;1.278e-09
850;2.0861;7.0972;1.2239e-09
851;2.084;7.0954;1.1723e-09
852;2.0821;7.0935;1.1228e-09
853;2.08;7.0917;1.0754e-09
854;2.0781;7.0899;1.0301e-09
855;2.0761;7.088;9.8663e-10
856;2.0741;7.0862;9.452e-10
857;2.0721;7.0844;9.0549e-10
858;2.0701;7.0826;8.6737e-10
859;2.0682;7.0808;8.3099e-10
860;2.0662;7.0791;7.9612e-10
861;2.0642;7.0773;7.6269e-10
862;2.0623;7.0755;7.3076e-10
863;2.0603;7.0737;7.0012e-10
864;2.0584;7.072;6.7091e-10
865;2.0564;7.0702;6.429e-10
866;2.0545;7.0685;6.1599e-10
867;2.0525;7.0668;5.9032e-10
868;2.0506;7.065;5.657e-10
869;2.0486;7.0633;5.421e-10
870;2.0467;7.0616;5.1954e-10
871;2.0448;7.0599;4.979e-10
872;2.0429;7.0582;4.7726e-10
873;2.0409;7.0565;4.5736e-10
874;2.039;7.0548;4.3844e-10
875;2.0371;7.0531;4.2019e-10
876;2.0352;7.0514;4.0278e-10
877;2.0333;7.0497;3.8609e-10
878;2.0314;7.048;3.7013e-10
879;2.0295;7.0464;3.5482e-10
880;2.0276;7.0447;3.4013e-10
881;2.0257;7.0431;3.2612e-10
882;2.0238;7.0414;3.1266e-10
883;2.0219;7.0398;2.998e-10
884;2.02;7.0382;2.874e-10
885;2.0181;7.0365;2.7558e-10
886;2.0163;7.0349;2.6427e-10
887;2.0144;7.0333;2.5341e-10
888;2.0125;7.0317;2.43e-10
889;2.0107;7.0301;2.3301e-10
890;2.0088;7.0285;2.2346e-10
891;2.0069;7.0269;2.1429e-10
892;2.0051;7.0253;2.0554e-10
893;2.0032;7.0237;1.9715e-10
894;2.0014;7.0221;1.8908e-10
